Facility Name,City,State,Ownership Type,Facility Size,Certified Beds,Overall Rating,Staffing Rating,Staffing Status,Total Nurse Hours Per Resident Day,RN Hours Per Resident Day,Weekend Nurse Hours Per Resident Day,Total Nursing Turnover Rate,RN Turnover Rate
ROLLING HILLS HEALTH CENTER,TOPEKA,KS,For-Profit,Medium,70,2,3,Understaffed,3.31,0.37,2.73,48.8,44.4
HATTIESBURG HEALTH & REHAB CENTER,HATTIESBURG,MS,For-Profit,Large,164,4,3,Adequate,4.97,0.61,4.2,98.8,100
WOODCREST NURSING AND REHABILITATION CENTER,ELSMERE,KY,For-Profit,Medium,127,4,2,Adequate,3.58,0.38,3.07,31.3,28.6
CEDARWOOD REHABILITATION & HEALTHCARE CENTER,TYRONE,PA,For-Profit,Medium,102,1,3,Understaffed,3.43,0.58,3.23,43.4,25
WEST HILLS HEALTH AND REHABILITATION  CENTER,CANOGA PARK,CA,For-Profit,Medium,145,1,4,Adequate,4.01,0.46,3.74,26.8,12.5
Shirley Chapman Sholom Home East,SAINT PAUL,MN,Non-Profit,Medium,118,4,5,Adequate,5.25,1.31,4.71,30.3,37.5
VALLEY OAKS CARE CENTER,EAST LIVERPOOL,OH,For-Profit,Medium,67,5,3,Understaffed,3.39,0.65,3.26,48.7,28.6
"TOWER ROAD POST ACUTE, LLC",MARIETTA,GA,For-Profit,Medium,138,1,1,Adequate,3.58,0.36,3.04,63.4,63.6
THE HEIGHTS OF NORTH HOUSTON,HOUSTON,TX,For-Profit,Medium,131,3,3,Understaffed,3.45,0.41,3.01,38.5,22.2
Paris Health And Rehabilitation Center,PARIS,AR,For-Profit,Medium,140,2,4,Adequate,3.75,0.4,3.3,52.7,33.3
DIVERSICARE OF WINFIELD,WINFIELD,AL,For-Profit,Medium,123,4,4,Understaffed,3.14,0.84,2.66,44,11.1
LAWRENCE REHAB & HCC/THE MEADOWS AT LAWRENCE,LAWRENCEVILLE,NJ,For-Profit,Large,180,2,3,Adequate,3.83,0.69,3.5,37.6,36.4
Dawson Springs Health and Rehabilitation Center,Dawson Springs,KY,For-Profit,Medium,59,4,4,Adequate,4.23,0.56,3.79,36.4,28.6
MARIETTA CENTER FOR NURSING AND HEALING,MARIETTA,GA,For-Profit,Large,154,1,1,Adequate,3.52,0.28,3.12,53.1,57.1
Medilodge of Haggerty Road,Plymouth,MI,For-Profit,Medium,101,3,4,Adequate,3.62,0.65,3.28,36,20
St George Healthcare Center,Saint George,SC,For-Profit,Medium,88,2,2,Understaffed,3.04,0.53,2.67,29.6,27.3
15 CRAIGSIDE,HONOLULU,HI,Non-Profit,Small,45,5,5,Adequate,4.66,1.95,4.11,22.4,15.8
OAKS AT BETHESDA THE,ZANESVILLE,OH,For-Profit,Medium,55,4,4,Adequate,3.75,0.88,3.35,25,33.3
BUCKEYE TERRACE REHABILITATION AND NURSING CENTER,WESTERVILLE,OH,For-Profit,Medium,70,2,1,Understaffed,3.29,0.55,2.91,59.3,63.6
GEER NURSING AND REHABILITATION,CANAAN,CT,Non-Profit,Medium,120,4,4,Adequate,3.89,0.68,3.45,35.4,31.3
ELITE NURSING AND REHABILITATION CARE CENTER,BIRMINGHAM,AL,For-Profit,Medium,143,1,3,Understaffed,3.42,0.41,2.98,59.4,73.7
BROWNSBURG MEADOWS,BROWNSBURG,IN,Government,Medium,147,3,3,Understaffed,3.36,0.69,2.9,32.8,36.8
Gordon Countryside Care,Gordon,NE,Government,Small,40,5,5,Adequate,3.75,1.13,3.18,42.1,22.2
PRUITTHEALTH - BLUE RIDGE,BLUE RIDGE,GA,For-Profit,Medium,101,4,2,Understaffed,3.46,0.71,2.87,43.1,40
"LOFT REHAB OF ROCK SPRINGS, THE",DECATUR,IL,For-Profit,Large,195,1,1,Understaffed,3.21,0.25,2.93,35.8,40
Parkview Home,Wayland,IA,Non-Profit,Small,34,5,5,Adequate,4.52,1.09,3.77,27.6,37.5
ROSEWOOD GARDENS REHABILITATION AND NURSING CENTER,BROOMALL,PA,For-Profit,Medium,146,5,4,Adequate,3.65,0.71,3.39,29.4,33.3
BLUEBIRD WELLNESS AND REHABILITATION,SAINT LOUIS,MO,For-Profit,Large,188,1,1,Understaffed,3.2,0.23,2.69,76.7,88.2
AMETHYST HEALTH OF ALGOMA,ALGOMA,WI,For-Profit,Medium,50,2,3,Understaffed,3.45,0.98,3.15,63.3,71.4
HEATHER MANOR NURSING AND REHABILITATION CENTER,HOPE,AR,For-Profit,Medium,128,4,5,Adequate,4.86,0.5,3.91,36.6,20
OTTERBEIN GAHANNA,GAHANNA,OH,Non-Profit,Medium,60,1,3,Adequate,4.44,0.61,4.2,53.9,85.7
HERMAN HEALTH CARE CENTER,SAN JOSE,CA,For-Profit,Medium,99,1,4,Adequate,4.29,0.36,3.75,37.4,53.8
Oakwood Rehab and Nursing Center,WESTMONT,IL,For-Profit,Medium,149,1,1,Understaffed,3.18,0.61,2.7,59.4,54.5
Riverside Healthcare Center,St. Louis,MI,For-Profit,Small,39,3,3,Understaffed,3.11,0.6,2.78,50,37.5
LEGACY POST ACUTE CARE,MARTINEZ,CA,For-Profit,Medium,96,5,4,Adequate,4.19,0.53,3.78,31.8,27.3
AVANTE REHABILITATION CENTER,IRVING,TX,For-Profit,Medium,120,3,2,Adequate,3.76,0.48,3.38,72.2,73.7
Desert Cove Nursing Center,CHANDLER,AZ,For-Profit,Medium,120,2,3,Adequate,3.78,0.48,3.43,47.2,54.5
SPLIT ROCK REHABILITION AND HEALTH CARE CENTER,BRONX,NY,For-Profit,Large,240,5,2,Adequate,3.74,0.97,3.25,31.9,49.2
TERRACES AT THE CLARE,CHICAGO,IL,For-Profit,Medium,50,5,5,Adequate,4.74,1.81,4.33,40,47.8
ABIGAIL HOUSE FOR NURSING & REHABILITATION,CAMDEN,NJ,For-Profit,Large,188,2,3,Understaffed,3.33,0.27,2.97,33.6,30.8
MN VETERANS HOME - LUVERNE,LUVERNE,MN,Government,Medium,85,5,5,Adequate,5.08,1.53,4.53,24,16.7
AUGUSTANA CARE HASTINGS HEALTH AND REHABILITATION,HASTINGS,MN,Non-Profit,Medium,72,5,5,Adequate,4.8,1.3,4.25,37.1,14.3
"TOWN HALL ESTATES ARLINGTON, INC.",Arlington,TX,Non-Profit,Medium,116,2,1,Understaffed,3,0.24,2.73,46.3,33.3
The Vinton Lutheran Home,Vinton,IA,Non-Profit,Medium,61,2,5,Adequate,4.14,0.53,3.43,36.7,33.3
VERSAILLES REHABILITATION AND HEALTH CARE CENTER,VERSAILLES,OH,For-Profit,Medium,112,3,1,Understaffed,3.18,0.36,2.88,58.3,66.7
CAREONE AT RIDGEWOOD AVENUE,PARAMUS,NJ,For-Profit,Medium,110,2,3,Adequate,4.08,1.01,3.56,33.9,37
Pointe Meadows Health and Rehabilitation,Lehi,UT,For-Profit,Medium,99,5,3,Adequate,3.87,0.94,3.32,57.3,41.7
IMMANUEL SKILLED CARE CENTER,KALISPELL,MT,For-Profit,Large,155,4,4,Adequate,3.9,0.76,3.57,44.3,40
TRINITY HILL CARE CENTER,HARTFORD,CT,For-Profit,Medium,144,1,3,Understaffed,3.07,0.37,2.7,29,41.7
"NHC HEALTHCARE, TULLAHOMA",TULLAHOMA,TN,For-Profit,Medium,90,4,4,Adequate,3.94,0.91,3.5,45.7,12.5
ANDERSON COUNTY HOSPITAL LTCU,GARNETT,KS,Non-Profit,Small,36,5,5,Adequate,3.89,1.06,3.43,55.6,42.9
Dexter Health Care,Dexter,ME,For-Profit,Medium,53,2,4,Adequate,4.12,0.7,3.52,61.7,58.3
Highland House Rehabilitation and Healthcare,Fayetteville,NC,For-Profit,Medium,106,1,1,Understaffed,3.12,0.25,2.66,58.5,50
THORNTON CARE CENTER,THORNTON,CO,For-Profit,Medium,101,2,2,Understaffed,3.11,0.7,2.53,74.1,73.3
RIDGEWOOD CENTER,RIDGEWOOD,NJ,For-Profit,Medium,90,1,2,Understaffed,3.16,0.61,2.83,46.7,50
MAYFAIR VILLAGE NURSING CARE C,COLUMBUS,OH,For-Profit,Medium,99,1,3,Adequate,3.88,0.92,3.37,40.5,66.7
Penn Yan Manor Nursing Home Inc,Penn Yan,NY,Non-Profit,Small,46,5,3,Adequate,3.75,0.42,3.32,46.9,37.5
WINDSOR CYPRESS GARDENS,RIVERSIDE,CA,For-Profit,Medium,120,1,2,Adequate,3.79,0.26,3.57,39.3,66.7
WEST HAVEN CENTER FOR NURSING & REHABILITATION,WEST HAVEN,CT,For-Profit,Medium,98,2,3,Adequate,3.74,0.75,3.11,37.4,63.2
HEATHER HILL HEALTHCARE CENTER,NEW PORT RICHEY,FL,Non-Profit,Medium,105,2,4,Adequate,3.59,0.54,3.41,40.8,20
KISSIMMEE NURSING & REHABILITATION CENTER,KISSIMMEE,FL,For-Profit,Medium,120,3,5,Adequate,3.81,1.01,3.42,32.1,30
GROVE HEALTHCARE AND REHABILITATION CENTER AND REH,HERNANDO,FL,For-Profit,Medium,120,2,3,Adequate,3.69,0.38,3.51,46.6,42.9
SKYLINE HEALTHCARE CENTER - LA,LOS ANGELES,CA,For-Profit,Medium,99,1,3,Adequate,4.34,0.25,4.01,37,62.5
CAMELLIA HEALTH & REHABILITATION,CLAXTON,GA,Non-Profit,Medium,87,2,3,Adequate,3.72,0.62,3.28,55,42.9
NORWICH REHABILITATION & NURSING CENTER,NORWICH,NY,For-Profit,Medium,80,3,3,Adequate,3.61,0.78,2.76,68,80
PRUITTHEALTH - GREENVILLE,GREENVILLE,GA,For-Profit,Medium,113,4,2,Understaffed,2.44,0.38,2.16,40.4,28.6
LODGE OF THE WABASH,VINCENNES,IN,Government,Medium,70,2,3,Understaffed,2.88,0.8,2.65,47.6,54.5
Prescott Village Nursing & Rehabilitation,PRESCOTT,AZ,Non-Profit,Medium,58,2,1,Understaffed,3.02,0.54,2.54,62.8,73.3
Lillian Carter Health Center by Harborview,PLAINS,GA,For-Profit,Medium,100,3,2,Adequate,3.61,0.3,2.9,50,40
DRIFTWOOD HEALTHCARE CENTER,TORRANCE,CA,For-Profit,Medium,99,2,2,Adequate,3.85,0.57,3.59,37.1,20
KENSINGTON PLACE NRSG & REHAB,CHICAGO,IL,For-Profit,Large,155,1,1,Understaffed,2.36,0.33,1.93,38.2,33.3
VINELAND POST ACUTE,NORTH HOLLYWOOD,CA,For-Profit,Small,49,3,3,Adequate,4.63,0.37,3.93,21.2,40
BUENA PARK NURSING CENTER,BUENA PARK,CA,For-Profit,Medium,143,3,4,Adequate,5.42,0.7,4.9,26.5,28
Normandie Ridge,YORK,PA,Non-Profit,Medium,64,5,4,Adequate,4.27,0.85,3.86,51.4,30.8
MONTROSE SPRINGS SKILLED NURSING & WELLNESS CENTER,MONTROSE,CA,For-Profit,Medium,109,3,3,Adequate,4.09,0.5,3.72,33.6,36.4
RIVER CITY LIVING COMMUNITY,JEFFERSON CITY,MO,For-Profit,Medium,87,1,3,Adequate,4.57,0.29,4.35,93.2,100
The Harrison at Heritage,Fort Worth,TX,For-Profit,Medium,120,4,2,Understaffed,3.36,0.37,2.93,48.9,27.3
SECORA REHABILITATION OF CASCADIA,PORTLAND,OR,For-Profit,Medium,53,3,4,Adequate,4.39,0.63,3.86,54.9,50
BUTLER REHAB AND HEALTHCARE CENTER,BUTLER,MO,For-Profit,Medium,98,1,1,Understaffed,3.21,0.4,2.75,67.1,76.9
CHRIST'S HOME RETIREMENT COMMUNITY,WARMINSTER,PA,For-Profit,Small,48,5,5,Adequate,5.04,1.84,4.66,40,15
GRIGGS COUNTY CARE CENTER,COOPERSTOWN,ND,Non-Profit,Small,40,4,4,Adequate,4.03,0.74,3.27,57.7,60
JURUPA HILLS POST ACUTE,RIVERSIDE,CA,For-Profit,Medium,143,2,2,Adequate,4.12,0.3,3.89,50,25
FRANK M TEJEDA TEXAS STATE VETERANS HOME,FLORESVILLE,TX,Government,Large,160,5,3,Understaffed,3.05,0.37,2.77,41.2,50
LEHIGH ACRES HEALTHCARE & REHAB CENTER,LEHIGH ACRES,FL,For-Profit,Medium,128,2,2,Adequate,3.86,0.73,3.42,49.6,62.5
BETHANY AT SILVER LAKE,EVERETT,WA,Non-Profit,Large,151,5,3,Adequate,4.1,0.97,3.56,52,46.9
CLAYMONT HEALTH AND REHABILITATION,UHRICHSVILLE,OH,For-Profit,Medium,55,5,3,Understaffed,3.16,0.69,2.82,38.3,12.5
CARRIAGE HILL HEALTH  & REHAB CENTER,FREDERICKSBURG,VA,For-Profit,Large,150,3,2,Adequate,3.79,0.47,3.41,54,47.1
INGLESIDE AT ROCK CREEK,WASHINGTON,DC,Non-Profit,Small,34,5,5,Adequate,5.94,2.53,5.32,55.8,44.4
"NHC HEALTHCARE, SMITHVILLE",SMITHVILLE,TN,For-Profit,Medium,114,3,3,Adequate,3.83,0.51,3.43,47.6,12.5
WILLOWBROOK NURSING CENTER,NACOGDOCHES,TX,For-Profit,Large,166,2,1,Understaffed,3,0.2,2.66,51.9,50
"D SCOTT HUDGENS CENTER FOR SKILLED NURSING, THE",SUWANEE,GA,Non-Profit,Small,32,4,4,Adequate,4.28,0.38,3.87,28.6,40
Meth-Wick Health Center,Cedar Rapids,IA,Non-Profit,Medium,69,5,5,Adequate,5.36,1.21,4.54,37.9,20
CHARLOTTESVILLE HEALTH & REHABILITATION CENTER,CHARLOTTESVILLE,VA,For-Profit,Medium,105,3,2,Understaffed,3.21,0.76,2.5,53.5,50
TRABUCO HILLS POST ACUTE,LAKE FOREST,CA,For-Profit,Large,175,2,2,Adequate,4.14,0.36,3.75,37.2,41.2
AUTUMN LAKE HEALTHCARE AT NORWALK,NORWALK,CT,For-Profit,Large,150,3,2,Understaffed,3.35,0.47,3.19,29.1,52.9
BROOKHAVEN NURSING & REHABILITATION CENTER,BROOKVILLE,OH,For-Profit,Medium,99,5,3,Adequate,4.16,0.51,3.73,29.5,25
MAGNOLIA SQUARE NURSING AND REHAB,SPRINGFIELD,MO,For-Profit,Medium,120,2,3,Understaffed,3.41,0.34,2.7,57.1,30
ACHIEVE REHAB AND NURSING FACILITY,LIBERTY,NY,For-Profit,Medium,140,2,2,Understaffed,3.28,0.45,2.87,42.7,52
Medilodge of GTC,Traverse City,MI,For-Profit,Medium,125,3,5,Adequate,3.71,1.11,2.94,33.7,25.9
"Zearing Health Care, LLC",Zearing,IA,For-Profit,Small,40,5,4,Adequate,3.9,1,3.61,59,50
NORTHERN MANHATTAN REHABILITATION AND NURSING CTR,NEW YORK,NY,For-Profit,Large,320,1,2,Understaffed,3.11,0.45,2.78,27.8,31.4
ARABELLA HEALTH & WELLNESS OF BIRMINGHAM,BIRMINGHAM,AL,For-Profit,Large,163,3,2,Understaffed,3.37,0.62,2.92,68.8,77.8
SEQUIM BAY POST ACUTE,SEQUIM,WA,For-Profit,Medium,100,3,3,Adequate,3.96,0.68,3.3,52.9,50
GLENDALE POST ACUTE CENTER,GLENDALE,CA,For-Profit,Medium,136,1,2,Adequate,3.87,0.35,3.61,44.6,52.6
NORTHGATE PLAZA,IRVING,TX,For-Profit,Medium,120,1,2,Understaffed,2.99,0.45,2.49,85.1,85.7
"OAK KNOLL HEALTH AND REHABILITATION, LLC",BIRMINGHAM,AL,For-Profit,Medium,100,2,3,Adequate,4.09,0.4,3.08,51.5,45.5
"TALLADEGA HEALTHCARE CENTER, INC",TALLADEGA,AL,For-Profit,Large,234,3,4,Adequate,4.61,0.45,3.95,51.8,32
AMBERWOODS OF FARMINGTON,FARMINGTON,CT,For-Profit,Medium,130,3,1,Understaffed,3.33,0.4,3.08,51.4,61.5
RIVERVIEW AT THE PARK CARE AND REHABILITATION CENT,SAINTE GENEVIEVE,MO,For-Profit,Medium,120,2,1,Understaffed,2.86,0.25,2.36,54.2,42.9
REGAL HEIGHTS HEALTHCARE & REHAB CENTER,HOCKESSIN,DE,For-Profit,Large,172,2,3,Adequate,3.94,0.37,3.64,42,43.8
Highland Farms,Black Mountain,NC,Non-Profit,Medium,60,4,5,Adequate,4.77,1.25,4.25,35.4,25
SPRINGFIELD REHABILITATION AND HEALTHCARE  CENTER,SPRINGFIELD,PA,For-Profit,Medium,100,1,3,Adequate,3.67,1,3.15,48.4,35.3
AUTUMN LAKE HEALTHCARE AT PIKESVILLE,PIKESVILLE,MD,For-Profit,Medium,140,1,3,Adequate,3.68,0.55,3.18,38.4,31.3
LAURELHURST POST ACUTE & REHABILITATION,PORTLAND,OR,For-Profit,Large,159,3,5,Adequate,5.12,0.96,4.55,40,38.9
ARBORS AT FAIRLAWN THE,FAIRLAWN,OH,For-Profit,Medium,88,2,3,Adequate,3.67,0.45,3.24,56.8,60
MODOC MEDICAL CENTER D/P SNF,ALTURAS,CA,For-Profit,Medium,84,4,1,Adequate,4.93,0.33,3.93,46.4,75
AUTUMN LAKE HEALTHCARE AT CROMWELL,CROMWELL,CT,For-Profit,Large,175,4,2,Understaffed,3.05,0.26,2.82,38.3,0
"WETUMPKA HEALTH AND REHABILITATION, LLC",WETUMPKA,AL,For-Profit,Medium,121,1,3,Adequate,3.78,0.54,3.24,56.8,71.4
MAPLE GROVE NURSING & REHAB CENTER,LEBANON,VA,For-Profit,Medium,60,3,4,Adequate,4.05,1,3.51,44.9,27.3
Avir at Tierra Este,EL PASO,TX,For-Profit,Medium,120,1,1,Understaffed,2.93,0.21,2.67,68.8,100
LINWOOD VILLAGE NURSING & RETIREMENT APTS,CUSHING,OK,For-Profit,Medium,67,3,2,Understaffed,3.45,0.27,3.12,62.1,80
OTTERBEIN SUNSET HOUSE,TOLEDO,OH,Non-Profit,Small,24,3,3,Adequate,3.9,1.07,3.33,70.4,66.7
PIONEERS MEMORIAL SKILLED NURSING CENTER,BRAWLEY,CA,Government,Medium,99,2,3,Adequate,4.43,0.25,4.17,37.8,60
ADVANCED HEALTH CARE OF SUMMERLIN,LAS VEGAS,NV,For-Profit,Small,38,4,4,Adequate,5.66,1.79,4.74,31.1,37.5
CARING HOUSE,SACATON,AZ,Government,Medium,100,3,5,Adequate,9.06,1.7,7.74,26,25
GRAND RAPIDS CARE CENTER,GRAND RAPIDS,OH,For-Profit,Small,32,5,3,Understaffed,3.37,1.13,3,32,0
"RESTORACY OF GOSHEN, THE",GOSHEN,IN,For-Profit,Small,48,3,3,Adequate,5.62,0.62,4.81,72.8,69.2
ANOKA REHABILITATION AND LIVING CENTER,ANOKA,MN,Non-Profit,Medium,120,4,5,Adequate,4.29,1.23,3.82,28.7,20
Liberty Commons Nursing and Rehabilitation Center,Weldon,NC,For-Profit,Medium,50,4,3,Understaffed,3.19,0.65,2.79,52.8,44.4
MARQUIS CARE AT SHASTA,REDDING,CA,For-Profit,Large,180,2,4,Adequate,4.71,0.47,4.27,56.5,37.5
ROSEWOOD NURSING CENTER,LAKE CHARLES,LA,For-Profit,Large,150,1,1,Understaffed,3.39,0.21,2.85,56.7,40
Mayflower Home,Grinnell,IA,Non-Profit,Small,40,5,4,Adequate,4.65,1.07,4.04,40.4,57.1
HILLTOP HEIGHTS HEALTH & REHAB CENTER,JOHNSTOWN,PA,For-Profit,Medium,120,1,2,Adequate,3.5,0.64,3.22,58.3,66.7
The Lev At town Park,Houston,TX,Government,Large,180,2,2,Understaffed,3.04,0.34,2.67,44.6,16.7
CENTERBURG POINTE,CENTERBURG,OH,For-Profit,Medium,76,3,2,Adequate,4.22,0.87,3.61,43.5,50
APPOMATTOX HEALTH & REHABILITATION CENTER,APPOMATTOX,VA,For-Profit,Medium,60,2,1,Understaffed,3.11,0.55,2.85,58.2,58.3
"VILLAGE CARE AND REHABILITATION CENTER, THE",WESTMINSTER,CO,Non-Profit,Medium,60,3,4,Adequate,4.17,0.83,3.65,56.9,61.5
LOVELAND HEALTH CARE CENTER,LOVELAND,OH,For-Profit,Medium,89,3,2,Adequate,3.79,0.41,3.5,58,33.3
LAMAR HEALTHCARE & REHABILITATION CENTER,LUMBERTON,MS,For-Profit,Medium,120,1,2,Understaffed,2.91,0.18,2.68,26.9,28.6
Belle Plaine Specialty Care,Belle Plaine,IA,Non-Profit,Small,46,3,3,Understaffed,3.25,0.76,2.94,59,50
ARC AT TROTWOOD LLC,DAYTON,OH,For-Profit,Medium,127,2,1,Adequate,3.52,0.56,3.11,64.3,75
LAKE FOREST VILLAGE BY PUREHEALTH,DENTON,TX,For-Profit,Medium,60,4,4,Adequate,4.59,1.06,3.57,46.7,33.3
ALL AMERICAN VLGE NRSG & RHB,CHICAGO,IL,For-Profit,Medium,144,2,1,Understaffed,2.28,0.23,1.88,28.6,57.1
THE BRADFORD SKILLED NURSING AND REHABILITATION,SHREVEPORT,LA,For-Profit,Medium,146,3,2,Understaffed,3.43,0.24,3.1,50.6,20
PLEASANT VIEW HEALTHCARE CENTER,MOUNT AIRY,MD,For-Profit,Medium,104,3,3,Adequate,3.55,0.56,3.15,24.1,40
CARROLLTON HEALTH AND REHABILITATION CENTER,CARROLLTON,TX,For-Profit,Medium,120,3,3,Understaffed,3.16,0.86,2.71,60,50
CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,CENTRE,AL,Government,Large,185,5,5,Adequate,4.93,0.77,4.43,33.5,15.8
CAMBRIDGE POST ACUTE CARE CENTER,SNELLVILLE,GA,For-Profit,Medium,144,1,2,Adequate,3.57,0.37,3.03,37.2,54.5
Northbrook Healthcare and Rehabilitation Center,Cedar Rapids,IA,For-Profit,Medium,130,1,1,Understaffed,3.06,0.44,2.76,69.4,50
Manna Post Acute,Pickens,SC,For-Profit,Medium,130,4,3,Understaffed,3.37,0.65,2.95,21.5,22.7
GOLFVIEW NURSING CENTER,SAINT PETERSBURG,FL,For-Profit,Medium,56,2,3,Adequate,3.64,0.74,3.45,41.2,38.5
CARE ONE AT PEABODY,PEABODY,MA,For-Profit,Large,150,4,2,Adequate,3.68,0.41,3.27,24.7,20
CENTERVILLE POST ACUTE,CENTERVILLE,OH,For-Profit,Medium,129,3,1,Understaffed,3.36,0.46,3.12,64.2,63.6
WESTERWOOD REHABILITATION,COLUMBUS,OH,Non-Profit,Medium,75,5,4,Adequate,4.3,0.92,3.84,37.2,30.8
Elevate Health and Rehabilitation,Asheville,NC,For-Profit,Medium,120,1,1,Understaffed,3.21,0.4,2.85,77.6,80
Southview Acres HealthCare Center,WEST SAINT PAUL,MN,For-Profit,Large,200,3,5,Adequate,4.26,0.9,3.79,41.9,41.3
BRICKYARD HEALTHCARE - TERRACE CARE CENTER,LA PORTE,IN,For-Profit,Large,176,2,2,Understaffed,3,0.42,2.66,46.3,35
THE SPRINGS HEALTHCARE CENTER AT THE CARLOTTA,PALM DESERT,CA,For-Profit,Medium,59,5,2,Adequate,4.59,0.54,4.16,55.4,50
HIGHLAND OAKS HEALTH CENTER,MCCONNELSVILLE,OH,For-Profit,Medium,99,1,3,Adequate,3.62,0.53,3.26,46.7,53.3
"ORCHARDS OF EAST LIVERPOOL, THE",EAST LIVERPOOL,OH,For-Profit,Medium,50,3,2,Adequate,3.85,0.47,3.38,32.6,44.4
WESTSIDE CARE CENTER,MANCHESTER,CT,For-Profit,Large,162,2,2,Understaffed,2.91,0.29,2.59,37.3,64.3
CANTERBURY OF TWINSBURG,TWINSBURG,OH,For-Profit,Medium,56,3,4,Adequate,5.14,0.97,4.64,59.7,56.3
"GARDENS, THE",COLORADO SPRINGS,CO,For-Profit,Small,45,5,3,Understaffed,2.91,0.79,2.5,58.3,70
SAGECREST ALZHEIMERS CARE CENTER,SAN ANGELO,TX,Non-Profit,Medium,72,5,5,Adequate,4.57,0.78,4.07,20,11.1
VI AT THE GLEN,GLENVIEW,IL,For-Profit,Small,47,5,5,Adequate,4.52,1.59,4.06,21.2,8.7
WINDSOR NURSING & RETIREMENT HOME,SOUTH YARMOUTH,MA,Non-Profit,Medium,120,1,3,Adequate,3.93,0.61,3.41,49.4,47.1
ABBOTSFORD HEALTH CARE CENTER,ABBOTSFORD,WI,For-Profit,Medium,78,2,2,Understaffed,2.71,0.83,2.41,54.2,42.9
THE SPRINGS OF CAMDEN,CAMDEN,AR,For-Profit,Medium,106,4,4,Adequate,4.1,0.45,3.66,37.3,62.5
SLATE VALLEY CENTER FOR REHABILITATION AND NURSING,GRANVILLE,NY,For-Profit,Medium,88,5,3,Understaffed,3.47,0.68,3.02,55,0
LIFE CARE CENTER OF CITRUS COUNTY,LECANTO,FL,For-Profit,Medium,120,2,3,Adequate,3.79,0.38,3.36,44.2,52.9
VILLA MARIA NURSING CENTER,NORTH MIAMI,FL,Non-Profit,Large,212,2,4,Adequate,3.64,0.45,3.44,31.9,23.5
SOUTHWIND AT SPEARVILLE,SPEARVILLE,KS,Non-Profit,Small,28,5,5,Adequate,6.38,1.71,6,34.5,16.7
Philadelphia Protestant Home,PHILADELPHIA,PA,Non-Profit,Medium,116,5,5,Adequate,3.92,0.72,3.9,18.6,15.8
SARAH REED SENIOR LIVING,ERIE,PA,Non-Profit,Medium,106,5,4,Adequate,4.26,0.52,3.93,53.4,50
HARBOR HOUSE NURSING & REHABILITATION CENTER,HINGHAM,MA,For-Profit,Medium,142,5,4,Adequate,3.54,0.62,3.23,28.6,40
GOOD SAMARITAN SOCIETY DE SMET,DE SMET,SD,Non-Profit,Small,46,2,3,Understaffed,3.47,1.06,2.8,67.4,25
TERRACE VIEW LONG TERM CARE FACILITY,BUFFALO,NY,Government,Large,390,4,5,Adequate,4.85,0.93,4.23,34.5,23.6
WILLOW TREE CARE CENTER,DELTA,CO,For-Profit,Medium,80,1,3,Understaffed,3.44,1.14,2.73,61.4,66.7
MEADOW VIEW REHABILITATION & HEALTHCARE CENTER,MONTROSE,PA,For-Profit,Medium,63,3,2,Understaffed,2.85,0.6,2.61,44.2,45.5
SUNFLOWER PARK HEALTH CARE,KAUFMAN,TX,For-Profit,Medium,92,2,1,Understaffed,3.33,0.47,2.85,73.2,87.5
Riveridge Rehabilitation and Healthcare Center,Niles,MI,For-Profit,Medium,84,1,3,Adequate,3.55,0.65,3.13,55.8,61.5
SUNDANCE SKILLED NURSING AND REHABILITATION,COLORADO SPRINGS,CO,For-Profit,Medium,68,5,4,Understaffed,3.15,0.95,2.74,59.6,56.3
EMERALD NURSING AND REHABILITATION,ELIZABETHTOWN,PA,For-Profit,Medium,73,1,1,Understaffed,3.42,0.64,3.05,78,85.7
Royal Middletown Nursing Center,Middletown,RI,For-Profit,Medium,50,2,2,Understaffed,3,0.95,2.52,79.6,94.1
BETHLEHEM WOODS NURSING AND REHABILITATION,FORT WAYNE,IN,For-Profit,Medium,90,5,3,Adequate,3.58,0.83,2.96,45.1,25
SPACE COAST HEALTHCARE AND REHABILITATION CENTER,MERRITT ISLAND,FL,For-Profit,Medium,120,2,3,Understaffed,3.46,0.6,3.18,58.3,45
APERION CARE TOLLESTON PARK,GARY,IN,For-Profit,Large,178,1,1,Understaffed,3.16,0.3,2.82,36.9,33.3
PINE HAVEN REHABILITATION AND WELLNESS CENTER,EIGHT MILE,AL,For-Profit,Large,172,2,3,Understaffed,3.22,0.37,2.97,43.5,31.3
SOUTHERN PINES NURSING CENTER,NEW PORT RICHEY,FL,For-Profit,Medium,120,2,2,Understaffed,3.26,0.54,3.05,50.6,64.3
Seneca Health & Rehabilitation Center,Seneca,SC,For-Profit,Medium,132,2,2,Understaffed,3.33,0.38,2.97,52,28.6
Pruitthealth - Scenic View,BALDWIN,GA,For-Profit,Medium,148,3,1,Understaffed,2.7,0.54,2.17,54.8,33.3
CEDARBROOK SENIOR CARE AND REHABILITATION,ALLENTOWN,PA,Government,Large,670,5,5,Adequate,4.01,0.7,3.62,30.1,21.9
VETERANS HOME OF CALIFORNIA - FRESNO,FRESNO,CA,Government,Medium,120,5,5,Adequate,5.78,1.41,5.15,32.6,30.3
SKY VIEW NURSING CENTER,HURLEY,WI,For-Profit,Small,33,5,5,Adequate,3.65,0.97,3.06,32.3,50
